Temperature,Pressure,Density
85.53,1.7e-09,1.1e-08
100.0,2.5e-07,1.34e-06
130.0,0.000176,0.000718
160.0,0.0085,0.02819
190.0,0.1055,0.2964
220.0,0.6058,1.498
250.0,2.18,4.936
280.0,5.817,12.57
310.0,12.73,27.88
320.0,15.99,35.74
340.0,24.32,58.92
355.0,32.43,89.3
360.0,35.55,105.4
369.83,42.48,220.5














